Locus	Sclero	ToxPoly
uce-1908	-2561.27	-2557.78	
uce-1909	-3964.59	-3968.55	
uce-191	-4783.97	-4776.94	
uce-1910	-2669.83	-2670.41	
uce-1911	-2033.70	-2034.63	
uce-1912	-3948.38	-3943.16	
uce-1913	-4132.99	-4133.08	
uce-1914	-2057.53	-2060.15	
uce-1915	-2224.10	-2235.58	
uce-1917	-4031.90	-4034.04	
uce-1918	-1843.92	-1839.68	
uce-1919	-2131.78	-2122.03	
uce-192	-3205.74	-3199.19	
uce-1920	-5045.77	-5037.23	
uce-1922	-3429.92	-3417.92	
uce-1925	-1664.96	-1666.88	
uce-1928	-4878.81	-4883.27	
uce-1929	-2966.22	-2960.04	
uce-1932	-3470.69	-3463.81	
uce-1933	-4777.05	-4774.38	
uce-1937	-1607.68	-1607.16	
uce-1938	-4892.72	-4888.91	
uce-1941	-3158.98	-3160.82	
uce-1943	-2428.28	-2432.56	
uce-1946	-3026.15	-3013.50	
uce-195	-4370.96	-4390.20	
uce-1956	-4545.24	-4543.21	
uce-1960	-3999.51	-3998.23	
uce-1961	-1517.44	-1507.46	
uce-1963	-4659.10	-4637.21	
uce-1964	-4384.04	-4365.13	
uce-1965	-2104.49	-2108.94	
uce-1966	-6107.01	-6116.07	
uce-1967	-2036.31	-2036.67	
uce-1969	-2047.11	-2032.30	
uce-1970	-3520.12	-3515.11	
uce-1971	-4125.54	-4109.18	
uce-1972	-1949.98	-1961.24	
uce-1975	-2757.97	-2748.27	
uce-1976	-3117.92	-3116.79	
uce-1977	-3210.63	-3203.29	
uce-1979	-2694.78	-2698.78	
uce-198	-4298.29	-4286.52	
uce-1980	-4661.77	-4679.31	
uce-1981	-2583.31	-2581.90	
uce-1982	-1767.24	-1764.29	
uce-1983	-3492.62	-3480.49	
uce-1985	-4659.09	-4661.70	
uce-1986	-3510.89	-3501.36	
uce-1988	-2687.39	-2685.10	
uce-1989	-3445.85	-3429.61	
uce-1993	-2794.72	-2794.09	
uce-1995	-4783.36	-4788.18	
uce-1996	-3562.34	-3541.79	
uce-1997	-4810.65	-4802.50	
uce-1998	-2324.17	-2320.75	
uce-1999	-4937.60	-4929.24	
uce-2	-4644.59	-4647.44	
uce-200	-3758.84	-3757.14	
uce-2000	-4179.58	-4183.27	
uce-2001	-2031.45	-2020.96	
uce-2003	-3122.05	-3121.55	
uce-2004	-3956.31	-3953.27	
uce-2005	-4256.33	-4247.82	
uce-2006	-5200.08	-5206.00	
uce-2007	-5748.56	-5761.36	
uce-2008	-5039.34	-5014.08	
uce-2009	-1970.76	-1962.66	
uce-201	-4469.50	-4459.01	
uce-2010	-2821.24	-2826.40	
uce-2012	-2673.56	-2670.06	
uce-2013	-4120.86	-4114.54	
uce-2014	-3307.60	-3296.85	
uce-2016	-4084.66	-4073.12	
uce-2018	-3486.73	-3483.63	
uce-202	-3672.59	-3673.53	
uce-2020	-3855.99	-3856.41	
uce-2021	-4188.09	-4186.42	
uce-2023	-3346.57	-3330.49	
uce-2024	-3972.97	-3951.77	
uce-2025	-2801.57	-2805.51	
uce-2028	-5052.97	-5040.09	
uce-2030	-2288.42	-2291.93	
uce-2031	-3652.68	-3647.10	
uce-2033	-5220.56	-5205.05	
uce-2034	-4164.24	-4149.56	
uce-2035	-4989.84	-5006.87	
uce-2036	-4185.22	-4179.85	
uce-2037	-2359.58	-2359.36	
uce-204	-3298.78	-3288.03	
uce-2040	-3121.09	-3127.15	
uce-2041	-4417.62	-4424.16	
uce-2042	-5198.71	-5176.22	
uce-2043	-3379.56	-3380.45	
uce-2045	-3148.51	-3142.70	
uce-2046	-2024.37	-2014.48	
uce-2048	-4137.88	-4119.92	
uce-2049	-4913.52	-4910.07	
uce-205	-2476.46	-2478.82	
uce-2051	-3687.65	-3670.59	
uce-2053	-1495.20	-1495.67	
uce-2054	-3771.01	-3766.61	
uce-2055	-2205.64	-2199.61	
uce-2057	-1487.08	-1486.45	
uce-2060	-2241.83	-2238.05	
uce-2062	-1882.17	-1871.28	
uce-2063	-2454.13	-2461.37	
uce-2064	-2558.59	-2554.24	
uce-2066	-4346.59	-4347.97	
uce-2068	-3435.12	-3438.88	
uce-2069	-1457.18	-1454.32	
uce-207	-4822.17	-4824.99	
uce-2070	-3708.38	-3699.46	
uce-2073	-1887.46	-1886.00	
uce-2075	-4227.01	-4211.09	
uce-2076	-1650.05	-1652.40	
uce-2077	-3707.85	-3697.21	
uce-2079	-4912.96	-4918.32	
uce-208	-2649.86	-2648.59	
uce-2080	-3317.42	-3314.15	
uce-2082	-4080.76	-4078.07	
uce-2083	-2313.75	-2309.18	
uce-2086	-3429.56	-3436.60	
uce-2088	-4946.93	-4941.47	
uce-2089	-4232.53	-4229.20	
uce-2090	-3372.01	-3374.37	
uce-2092	-4151.60	-4156.27	
uce-2094	-2195.17	-2194.29	
uce-2096	-2484.27	-2478.89	
uce-2099	-2474.47	-2469.47	
uce-2100	-5473.06	-5462.47	
uce-2102	-2886.32	-2885.76	
uce-2103	-2522.48	-2533.41	
uce-2104	-5208.97	-5211.09	
uce-2108	-2996.81	-2995.72	
uce-2109	-3047.77	-3058.69	
uce-211	-4527.36	-4504.06	
uce-2111	-3549.70	-3538.52	
uce-2112	-3234.94	-3232.16	
uce-2113	-2382.96	-2381.60	
uce-2114	-2004.51	-2011.78	
uce-2116	-2282.55	-2282.46	
uce-2118	-3956.23	-3955.41	
uce-2119	-7454.12	-7438.69	
uce-212	-2195.26	-2195.55	
uce-2120	-3956.67	-3943.32	
uce-2122	-3719.04	-3714.46	
uce-2124	-2224.35	-2218.97	
uce-2125	-1575.12	-1576.62	
uce-2126	-4324.13	-4327.02	
uce-2127	-1211.43	-1221.52	
uce-2129	-3898.18	-3899.53	
uce-213	-3243.18	-3245.48	
uce-2131	-3267.77	-3262.72	
uce-2134	-1838.34	-1843.36	
uce-2135	-5045.36	-5045.99	
uce-2136	-3299.52	-3300.46	
uce-2138	-5517.73	-5514.01	
uce-2140	-5691.37	-5694.18	
uce-2142	-2092.17	-2088.43	
uce-2145	-3819.88	-3822.50	
uce-2146	-4365.17	-4348.01	
uce-2147	-3698.84	-3709.00	
uce-2149	-1844.08	-1847.39	
uce-215	-2768.73	-2767.86	
uce-2151	-2556.58	-2548.76	
uce-2152	-1694.83	-1692.72	
uce-2154	-3158.43	-3137.67	
uce-2155	-2661.17	-2659.75	
uce-2156	-1551.12	-1544.94	
uce-2160	-2097.51	-2102.57	
uce-2162	-4757.98	-4754.11	
uce-2163	-3848.09	-3841.16	
uce-2164	-2252.81	-2243.60	
uce-2165	-2564.57	-2567.65	
uce-2166	-3465.49	-3433.34	
uce-2168	-2018.46	-2015.88	
uce-2169	-1364.14	-1341.28	
uce-2172	-4099.90	-4099.05	
uce-2175	-1665.54	-1655.57	
uce-2176	-1981.30	-1971.70	
uce-2177	-2359.55	-2355.44	
uce-2178	-4667.51	-4653.29	
uce-2179	-2665.61	-2655.62	
uce-2180	-2687.44	-2685.52	
uce-2183	-5000.31	-4993.16	
uce-2184	-2324.82	-2328.39	
uce-2185	-2088.04	-2086.03	
uce-2187	-4190.89	-4195.68	
uce-219	-3414.38	-3407.32	
uce-2190	-5016.39	-5025.62	
uce-2193	-2591.91	-2594.90	
uce-2194	-4283.71	-4282.59	
uce-2195	-2891.69	-2894.56	
uce-2196	-3428.90	-3413.15	
uce-2198	-5560.58	-5558.11	
uce-220	-4980.79	-4975.47	
uce-2201	-3304.31	-3287.77	
uce-2202	-3740.05	-3715.73	
uce-2204	-1869.62	-1867.49	
uce-2206	-3005.84	-3019.33	
uce-2208	-1967.34	-1963.81	
uce-2209	-2575.42	-2575.28	
uce-221	-1840.10	-1840.70	
uce-2211	-4795.52	-4777.01	
uce-2212	-3671.27	-3677.35	
uce-2213	-1488.37	-1487.77	
uce-2217	-3304.62	-3308.47	
uce-2219	-5615.08	-5604.96	
uce-222	-4211.89	-4205.27	
uce-2220	-1895.60	-1889.09	
uce-2222	-3319.82	-3320.49	
uce-2223	-3055.99	-3050.76	
uce-2224	-4364.65	-4372.00	
uce-2225	-3741.48	-3731.18	
uce-2226	-2983.81	-2981.92	
uce-2229	-1386.06	-1385.07	
uce-223	-4031.28	-4036.80	
uce-2230	-4304.32	-4287.37	
uce-2231	-2911.58	-2907.89	
uce-2233	-2151.48	-2148.07	
uce-2235	-3574.66	-3570.37	
uce-2238	-4125.18	-4125.22	
uce-2239	-4368.79	-4362.62	
uce-224	-4335.66	-4316.33	
uce-2243	-2829.39	-2834.91	
uce-2245	-1969.05	-1963.16	
uce-2246	-2138.81	-2130.70	
uce-2247	-2513.22	-2514.79	
uce-2248	-4990.91	-4981.47	
uce-225	-2375.91	-2363.58	
uce-2250	-4535.37	-4540.92	
uce-2251	-3493.38	-3484.23	
uce-2252	-2538.65	-2543.61	
uce-2253	-4433.08	-4435.98	
uce-2255	-5101.75	-5090.92	
uce-2257	-3777.85	-3778.81	
uce-2259	-2780.76	-2766.86	
uce-2260	-3373.73	-3369.38	
uce-2261	-3390.87	-3395.81	
uce-2263	-2503.87	-2493.49	
uce-2265	-5535.19	-5520.56	
uce-2266	-4282.87	-4270.78	
uce-2267	-5113.73	-5100.35	
uce-227	-5813.88	-5811.54	
uce-2270	-4177.47	-4172.31	
uce-2273	-3052.18	-3049.62	
uce-2274	-3685.41	-3678.53	
uce-2275	-3195.33	-3189.85	
uce-2276	-5359.65	-5369.68	
uce-2277	-4104.69	-4098.78	
uce-2278	-3059.36	-3056.39	
uce-2279	-2771.58	-2770.29	
uce-2282	-2051.91	-2052.96	
uce-2283	-3368.83	-3351.76	
uce-2284	-4823.11	-4817.08	
uce-2287	-3571.57	-3562.42	
uce-2288	-4074.59	-4054.28	
uce-2289	-2622.36	-2626.48	
uce-2291	-3267.55	-3256.67	
uce-2293	-771.95	-764.99	
uce-2294	-2755.60	-2753.21	
uce-2296	-4344.09	-4340.04	
uce-2297	-2887.53	-2888.27	
uce-2298	-4990.91	-4986.09	
uce-23	-2426.11	-2425.06	
uce-230	-3802.51	-3791.90	
uce-2302	-3618.48	-3611.93	
uce-2303	-1566.24	-1573.24	
uce-2306	-2485.27	-2478.05	
uce-2308	-3069.25	-3073.77	
uce-2309	-2453.53	-2453.79	
uce-231	-3895.86	-3891.59	
uce-2310	-2639.88	-2645.55	
uce-2312	-3383.90	-3379.51	
uce-2313	-2408.40	-2407.41	
uce-2315	-2398.67	-2396.68	
uce-2319	-4358.24	-4354.66	
uce-232	-3740.41	-3725.11	
uce-2320	-3058.27	-3062.98	
uce-2321	-1906.42	-1900.14	
uce-2325	-1445.01	-1447.50	
uce-2326	-5065.55	-5075.27	
uce-2328	-2362.33	-2371.31	
uce-233	-1619.76	-1618.33	
uce-2331	-2462.55	-2457.81	
uce-2334	-3497.05	-3487.64	
uce-2335	-4444.27	-4431.45	
uce-2336	-2120.80	-2113.73	
uce-2338	-2554.36	-2553.90	
uce-234	-3721.10	-3717.89	
uce-2340	-2495.30	-2499.47	
uce-2341	-4303.39	-4302.37	
uce-2342	-2784.12	-2782.33	
uce-2344	-5069.82	-5060.39	
uce-2345	-1951.31	-1949.54	
uce-2346	-3637.99	-3626.52	
uce-2347	-3259.29	-3256.78	
uce-2349	-5482.23	-5471.00	
uce-235	-3435.09	-3439.77	
uce-2350	-3024.72	-3023.48	
uce-2352	-5540.71	-5525.13	
uce-2353	-6087.82	-6081.03	
uce-2356	-3629.60	-3607.41	
uce-2357	-3626.54	-3616.80	
uce-2358	-4236.25	-4236.44	
uce-2361	-2821.82	-2820.24	
uce-2365	-1986.63	-1986.78	
uce-2366	-5880.53	-5880.17	
uce-2367	-4517.58	-4500.05	
uce-2369	-3313.54	-3300.25	
uce-237	-2137.37	-2129.83	
uce-2370	-3861.29	-3852.65	
uce-2371	-2049.94	-2054.60	
uce-2372	-4111.93	-4103.05	
uce-2376	-3547.15	-3546.56	
uce-2377	-532.48	-537.73	
uce-2378	-1846.93	-1848.96	
uce-2379	-2762.99	-2765.07	
uce-238	-2521.51	-2519.62	
uce-2380	-2876.49	-2876.32	
uce-2383	-2737.20	-2732.53	
uce-2384	-2938.55	-2934.46	
uce-2385	-4448.80	-4430.54	
uce-2386	-1787.99	-1796.45	
uce-2387	-5459.82	-5449.73	
uce-2388	-3596.93	-3588.89	
uce-2389	-1568.08	-1568.22	
uce-239	-2923.06	-2910.34	
uce-2392	-4377.84	-4368.61	
uce-2393	-4716.89	-4703.78	
uce-2395	-3613.19	-3606.46	
uce-2396	-3917.13	-3901.06	
uce-2397	-4644.59	-4633.06	
uce-2399	-3068.18	-3047.59	
uce-24	-4025.27	-4021.56	
uce-240	-1420.82	-1414.75	
uce-2400	-6781.21	-6782.95	
uce-2404	-3386.22	-3379.96	
uce-2406	-3955.58	-3943.06	
uce-2407	-1484.80	-1474.94	
uce-2409	-4624.69	-4625.11	
uce-241	-1626.17	-1606.70	
uce-2414	-4267.47	-4260.57	
uce-2415	-4430.97	-4428.50	
uce-2416	-2808.50	-2831.51	
uce-2417	-2999.95	-2990.04	
uce-2418	-3535.08	-3531.32	
uce-2419	-1409.64	-1417.05	
uce-242	-3176.38	-3172.97	
uce-2422	-6814.10	-6807.96	
uce-2423	-2173.07	-2159.54	
uce-2427	-4705.26	-4723.82	
uce-243	-3039.79	-3032.57	
uce-2431	-4259.15	-4245.98	
uce-2432	-4071.47	-4066.71	
uce-2433	-3480.54	-3477.93	
uce-2435	-4344.86	-4343.79	
uce-2437	-3145.01	-3137.84	
uce-2438	-3037.95	-3037.57	
uce-2439	-3459.72	-3461.80	
uce-2441	-4143.66	-4137.42	
uce-2442	-3340.68	-3335.83	
uce-2444	-3882.76	-3868.00	
uce-2445	-1424.49	-1418.86	
uce-2446	-5090.83	-5097.06	
uce-2447	-3101.99	-3099.91	
uce-2448	-2361.58	-2351.42	
uce-245	-1939.28	-1938.03	
uce-2450	-3232.41	-3235.66	
uce-2451	-2818.60	-2813.96	
uce-2452	-3711.84	-3695.38	
uce-2453	-4369.63	-4362.99	
uce-2454	-2102.97	-2098.47	
uce-2455	-3670.10	-3661.28	
uce-2456	-3189.32	-3179.81	
uce-2457	-2719.93	-2719.24	
uce-2459	-2496.21	-2507.03	
uce-246	-6139.79	-6157.28	
uce-2461	-3706.76	-3708.80	
uce-2462	-3235.07	-3244.51	
uce-2464	-4075.61	-4079.30	
uce-2465	-3535.69	-3530.88	
uce-2466	-3099.72	-3097.27	
uce-2468	-4344.83	-4351.73	
uce-2469	-3854.16	-3848.20	
uce-2471	-4667.82	-4654.23	
uce-2472	-3669.98	-3658.04	
uce-2474	-2017.92	-2012.26	
uce-2475	-5307.09	-5298.59	
uce-2476	-4175.37	-4164.33	
uce-2478	-3819.20	-3802.08	
uce-248	-3675.20	-3662.32	
uce-2480	-4037.90	-4040.32	
uce-2482	-1965.91	-1952.33	
uce-2485	-4288.91	-4277.85	
uce-2486	-4729.25	-4714.03	
uce-2487	-4269.64	-4263.76	
uce-2488	-2892.09	-2887.81	
uce-2489	-3410.54	-3405.16	
uce-249	-2560.08	-2545.93	
uce-2498	-3191.25	-3185.93	
uce-25	-3013.31	-3012.12	
uce-2502	-4195.62	-4185.32	
uce-2503	-4547.09	-4539.83	
uce-2504	-2298.97	-2296.41	
uce-2505	-3673.64	-3670.94	
uce-2506	-2348.07	-2342.28	
uce-2507	-3697.34	-3697.44	
uce-2508	-3307.16	-3300.63	
uce-2509	-2883.59	-2872.80	
uce-251	-3215.75	-3218.45	
uce-2510	-3153.61	-3151.49	
uce-2511	-4754.35	-4738.52	
uce-2512	-2904.80	-2902.23	
uce-2514	-1737.52	-1743.75	
uce-2515	-2139.15	-2126.18	
uce-2516	-2688.75	-2689.69	
uce-252	-1648.47	-1651.20	
uce-2521	-4017.28	-4023.03	
uce-2522	-5571.52	-5558.63	
uce-2525	-1619.59	-1619.68	
uce-2526	-4360.16	-4348.51	
uce-2529	-5079.31	-5078.84	
uce-253	-2929.69	-2924.94	
uce-2531	-2952.19	-2955.43	
uce-2533	-2691.93	-2693.31	
uce-2534	-3783.87	-3786.46	
uce-2537	-4354.11	-4348.65	
uce-2538	-674.11	-675.88	
uce-2539	-4524.25	-4526.21	
uce-254	-3228.63	-3226.15	
uce-2540	-2594.10	-2590.91	
uce-2544	-2004.54	-2009.90	
uce-2545	-3882.50	-3882.19	
uce-2546	-2844.84	-2842.80	
uce-255	-3771.27	-3763.45	
uce-2550	-3143.73	-3143.07	
uce-2551	-2310.86	-2310.52	
uce-2552	-2458.42	-2450.38	
uce-2553	-3953.36	-3945.09	
uce-2558	-4905.20	-4910.60	
uce-2559	-5054.12	-5061.04	
uce-256	-3256.10	-3240.35	
uce-2560	-2355.16	-2353.07	
uce-2561	-5177.59	-5161.33	
uce-2563	-1604.57	-1604.64	
uce-2564	-4537.47	-4527.79	
uce-2565	-2444.46	-2442.88	
uce-2566	-2491.59	-2493.67	
uce-2569	-1684.75	-1666.06	
uce-257	-4934.29	-4930.52	
uce-2572	-2819.40	-2805.94	
uce-2573	-2676.74	-2666.06	
uce-2574	-2939.35	-2936.94	
uce-2575	-3821.02	-3814.79	
uce-2576	-5735.88	-5722.04	
uce-2577	-3256.76	-3233.18	
uce-2579	-2161.67	-2165.92	
uce-258	-4509.07	-4507.31	
uce-2582	-3612.55	-3607.27	
uce-2585	-2791.75	-2787.24	
uce-2586	-4112.48	-4103.49	
uce-2587	-2528.28	-2528.44	
uce-2589	-2242.50	-2242.37	
uce-2591	-3879.13	-3869.30	
uce-2592	-4373.78	-4387.12	
uce-2594	-3113.14	-3107.31	
uce-2595	-2071.78	-2071.87	
uce-2596	-2693.21	-2687.80	
uce-2598	-3960.84	-3957.67	
uce-2599	-2915.24	-2915.24	
uce-260	-3233.60	-3220.88	
uce-2600	-2656.04	-2650.32	
uce-2605	-3488.38	-3483.75	
uce-2609	-2631.87	-2628.75	
uce-261	-3929.61	-3930.05	
uce-2611	-4239.13	-4238.07	
uce-2612	-4766.91	-4756.83	
uce-2613	-1528.64	-1530.54	
uce-2614	-3071.14	-3071.65	
uce-2618	-4266.66	-4282.10	
uce-2619	-7080.61	-7067.88	
uce-2620	-1839.18	-1834.07	
uce-2621	-2775.07	-2772.63	
uce-2623	-3873.91	-3870.74	
uce-2625	-3953.80	-3963.04	
uce-2628	-3857.55	-3848.08	
uce-263	-2566.41	-2569.45	
uce-2637	-3637.92	-3631.37	
uce-2638	-3522.16	-3527.81	
uce-2639	-2574.42	-2575.26	
uce-264	-1960.84	-1970.20	
uce-2642	-2109.60	-2115.12	
uce-2645	-4718.14	-4715.74	
uce-2646	-7039.63	-7042.89	
uce-2647	-3773.07	-3772.31	
uce-2648	-4774.66	-4769.07	
uce-2651	-3427.83	-3422.31	
uce-2655	-2520.68	-2525.14	
uce-2656	-2633.96	-2632.77	
uce-2657	-1786.34	-1789.35	
uce-2658	-3433.50	-3427.62	
uce-266	-4550.14	-4545.53	
uce-2662	-3105.60	-3102.33	
uce-2665	-2624.12	-2612.69	
uce-2667	-4181.49	-4179.15	
uce-2670	-1650.73	-1652.22	
uce-2671	-3002.76	-2998.11	
uce-2674	-2448.18	-2454.46	
uce-2676	-3725.44	-3715.37	
uce-2677	-2579.55	-2571.05	
uce-2678	-4308.09	-4299.15	
uce-268	-5317.29	-5306.05	
uce-2680	-1839.68	-1833.60	
uce-2681	-2693.08	-2692.73	
uce-2682	-4021.19	-4015.48	
uce-2684	-2796.00	-2783.26	
uce-2687	-3965.84	-3963.23	
uce-2688	-2402.93	-2401.82	
uce-269	-3772.72	-3757.65	
uce-2690	-3967.20	-3967.16	
uce-2693	-3420.00	-3414.69	
uce-2694	-3515.03	-3496.77	
uce-2697	-4248.67	-4239.21	
uce-2698	-947.19	-947.41	
uce-2699	-4806.83	-4814.00	
uce-27	-4677.54	-4688.95	
uce-2700	-4594.68	-4585.08	
uce-2701	-2380.44	-2369.86	
uce-2703	-3834.40	-3829.57	
uce-2704	-6345.99	-6338.75	
uce-2707	-4265.77	-4248.10	
uce-2708	-2123.00	-2128.57	
uce-2710	-2496.98	-2499.99	
uce-2713	-4040.26	-4035.06	
uce-2714	-4147.92	-4143.02	
uce-2716	-4159.36	-4145.38	
uce-2718	-3733.18	-3728.68	
uce-2719	-2411.20	-2402.50	
uce-2729	-5113.60	-5115.49	
uce-273	-5610.89	-5608.89	
uce-2731	-3056.40	-3056.51	
uce-2732	-4579.65	-4575.89	
uce-2733	-3062.45	-3062.60	
uce-2734	-2828.73	-2829.51	
uce-2735	-4321.05	-4314.42	
uce-2736	-2247.58	-2228.99	
uce-2739	-3037.11	-3023.33	
uce-274	-3247.22	-3243.89	
uce-2740	-1784.04	-1774.66	
uce-2742	-3268.10	-3258.27	
uce-2745	-4161.29	-4154.71	
uce-2746	-4088.65	-4078.31	
uce-2748	-5417.80	-5398.61	
uce-2752	-1232.86	-1219.36	
uce-2753	-3351.27	-3333.93	
uce-2754	-1578.17	-1566.97	
uce-2755	-4519.78	-4501.79	
uce-2757	-1857.81	-1865.30	
uce-2758	-4077.26	-4079.18	
uce-276	-5319.91	-5302.29	
uce-2762	-2012.70	-2013.21	
uce-2763	-2424.77	-2469.58	
uce-2765	-3189.60	-3191.89	
uce-2766	-3420.04	-3405.01	
uce-2767	-2554.09	-2550.78	
uce-2768	-1996.61	-2002.07	
uce-2769	-3118.76	-3111.84	
uce-277	-4172.46	-4167.06	
uce-2770	-2157.93	-2160.84	
uce-2771	-4516.63	-4514.08	
uce-2772	-3015.34	-3006.35	
uce-2773	-3257.41	-3245.79	
uce-2774	-3480.74	-3475.65	
uce-2775	-4929.05	-4924.46	
uce-2778	-4017.96	-4016.81	
uce-278	-1644.44	-1639.88	
uce-2780	-4744.95	-4736.21	
uce-2781	-5067.68	-5068.80	
uce-2782	-3164.97	-3159.31	
uce-2784	-2181.92	-2178.37	
uce-2785	-4413.79	-4420.81	
uce-2788	-4210.92	-4208.75	
uce-2789	-3276.09	-3274.22	
uce-279	-2253.68	-2256.20	
uce-2790	-2569.78	-2559.89	
uce-2794	-2284.89	-2278.11	
uce-2795	-3868.65	-3857.72	
uce-2796	-4345.69	-4345.90	
uce-2797	-2178.15	-2192.35	
uce-280	-2407.23	-2399.40	
uce-2800	-4085.34	-4075.99	
uce-2801	-2971.74	-2965.97	
uce-2802	-3618.84	-3612.74	
uce-2803	-4287.90	-4264.85	
uce-2809	-3354.08	-3353.11	
uce-2810	-3981.28	-3976.24	
uce-2811	-3003.40	-2995.37	
uce-2814	-2733.08	-2731.75	
uce-2816	-3959.45	-3955.09	
uce-2817	-3946.46	-3949.17	
uce-2818	-5743.77	-5734.01	
uce-2821	-1200.87	-1199.84	
uce-2823	-1714.53	-1719.45	
uce-2825	-2443.30	-2434.37	
uce-2827	-1897.89	-1890.69	
uce-2828	-5395.75	-5400.90	
uce-2831	-3138.68	-3142.68	
uce-2833	-4676.92	-4663.60	
uce-2834	-2843.85	-2843.16	
uce-2835	-3544.02	-3541.70	
uce-2837	-1988.07	-1985.15	
uce-2840	-2915.56	-2926.14	
uce-2841	-2761.68	-2756.92	
uce-2842	-4939.39	-4939.09	
uce-2843	-2186.56	-2182.39	
uce-2844	-4380.79	-4377.29	
uce-2846	-1638.06	-1627.02	
uce-2847	-3778.63	-3765.07	
uce-2848	-1681.36	-1679.02	
uce-2849	-3780.13	-3775.69	
uce-285	-2920.13	-2923.30	
uce-2851	-2613.59	-2594.64	
uce-2853	-3251.54	-3248.83	
uce-2856	-3580.60	-3577.89	
uce-2857	-5775.38	-5753.70	
uce-2858	-6284.27	-6275.90	
uce-286	-2591.29	-2559.35	
uce-2860	-2327.41	-2327.03	
uce-2861	-3364.64	-3347.27	
uce-2864	-4590.88	-4595.94	
uce-2865	-3588.92	-3586.06	
uce-2866	-3233.70	-3220.01	
uce-2868	-3717.43	-3715.09	
uce-2869	-2523.77	-2522.75	
uce-287	-4599.58	-4616.69	
uce-2870	-1565.45	-1566.46	
uce-2874	-3877.44	-3869.86	
uce-2875	-3694.05	-3680.36	
uce-2877	-2514.28	-2518.08	
uce-2878	-2921.39	-2910.93	
uce-2879	-3990.53	-3978.61	
uce-288	-3512.00	-3517.40	
uce-2886	-3319.32	-3321.71	
uce-2887	-3247.85	-3230.85	
uce-2888	-2137.26	-2126.81	
uce-2889	-2700.67	-2703.24	
uce-2890	-3468.51	-3468.82	
uce-2892	-3569.50	-3560.24	
uce-2893	-2679.61	-2676.33	
uce-2895	-3161.88	-3152.35	
uce-2896	-5119.07	-5118.40	
uce-2897	-4047.77	-4039.48	
uce-2899	-3590.13	-3573.37	
uce-29	-3451.16	-3444.15	
uce-290	-2776.43	-2776.81	
uce-2901	-7239.06	-7233.87	
uce-2903	-4704.40	-4698.73	
uce-2905	-2753.01	-2745.85	
uce-2907	-2953.79	-2951.39	
uce-2908	-3445.99	-3431.19	
uce-2909	-3077.68	-3057.53	
uce-291	-3502.27	-3501.49	
uce-2910	-2404.86	-2407.24	
uce-2911	-3683.82	-3676.69	
uce-2915	-3401.06	-3384.64	
uce-2917	-3931.45	-3922.02	
uce-292	-1840.50	-1834.68	
uce-2920	-4348.02	-4345.27	
uce-2921	-3387.22	-3390.91	
uce-2922	-2686.17	-2682.32	
uce-2923	-2902.43	-2904.82	
uce-2924	-2733.80	-2728.12	
uce-2925	-3910.30	-3910.11	
uce-2926	-3697.52	-3699.04	
uce-2927	-2151.92	-2143.35	
uce-2928	-2969.55	-2974.25	
uce-2930	-1660.88	-1654.10	
uce-2932	-3899.38	-3881.89	
uce-2933	-1685.64	-1679.64	
uce-2936	-2019.71	-2017.49	
uce-2937	-3733.27	-3736.90	
uce-2938	-3097.78	-3095.93	
uce-2939	-1955.63	-1955.84	
uce-294	-2207.20	-2198.81	
uce-2940	-1742.59	-1742.31	
uce-2941	-2971.52	-2958.18	
uce-2943	-4273.72	-4272.27	
uce-2952	-4138.94	-4126.37	
uce-2953	-6011.93	-6001.19	
uce-2954	-3604.64	-3611.75	
uce-2955	-2528.82	-2532.14	
uce-2958	-2136.77	-2130.03	
uce-2959	-4658.10	-4650.66	
uce-2962	-3603.76	-3603.70	
uce-2963	-5115.05	-5102.73	
uce-2964	-2597.98	-2602.74	
uce-2965	-2459.01	-2444.84	
uce-2966	-1903.95	-1905.56	
uce-2968	-2945.98	-2942.22	
uce-2969	-6912.97	-6912.79	
uce-297	-3897.01	-3880.69	
uce-2970	-1614.71	-1612.05	
uce-2971	-2476.47	-2471.38	
uce-2973	-4111.11	-4109.96	
uce-2975	-2950.96	-2951.56	
uce-2976	-2979.44	-2979.04	
uce-2978	-3823.55	-3816.25	
uce-298	-3521.89	-3526.68	
uce-2980	-3726.45	-3712.57	
uce-2981	-5277.07	-5275.47	
uce-2982	-2485.33	-2487.07	
uce-2987	-4122.28	-4119.07	
uce-299	-3493.97	-3486.02	
uce-2991	-4637.23	-4626.30	
uce-2992	-2790.73	-2794.96	
uce-2994	-1400.15	-1385.88	
uce-2995	-3302.30	-3297.86	
uce-2997	-3953.37	-3947.31	
uce-2998	-2722.97	-2717.53	
uce-2999	-3504.07	-3494.41	
uce-3	-1999.76	-1999.72	
uce-300	-4389.02	-4382.51	
uce-3000	-3195.15	-3190.84	
uce-3003	-4258.67	-4256.78	
uce-3004	-3864.59	-3850.37	
uce-3007	-2035.85	-2034.55	
uce-3008	-2898.32	-2895.39	
uce-3009	-1588.21	-1586.44	
uce-301	-2401.06	-2393.00	
uce-3010	-2963.40	-2959.95	
uce-3011	-2434.17	-2420.76	
uce-3013	-4074.51	-4068.17	
uce-3014	-5542.88	-5547.60	
uce-3016	-4021.18	-4029.17	
uce-3018	-3971.40	-3965.84	
uce-3020	-993.20	-988.46	
uce-3024	-2300.16	-2305.14	
uce-3025	-3873.30	-3879.15	
